rank,gid,role,priority_score,why
1,100000003684369100,distributor,0.8942034199726402,Выход 62 контр.: 8588655.00 KZT; вход 3848436.00 KZT. Порог выхода: ≥3 контр. Seed: вход неполон. Приоритет: структура +0.314; объём +0.300.
2,100000003016635100,distributor,0.8932814814814816,Выход 73 контр.: 9414081.00 KZT; вход 586981.00 KZT. Порог выхода: ≥3 контр. Seed: вход неполон. Приоритет: структура +0.308; объём +0.300.
3,100000006866783100,distributor,0.8873937208574671,Выход 67 контр.: 3948037.00 KZT; вход 838812.00 KZT. Порог выхода: ≥3 контр. Seed: вход неполон. Приоритет: структура +0.303; объём +0.300.
4,100000000343175100,distributor,0.7915957361840654,Выход 31 контр.: 4000039.00 KZT; вход 178712.00 KZT. Порог выхода: ≥3 контр. Seed: вход неполон. Приоритет: объём +0.300; структура +0.207.
5,100000008748914100,distributor,0.7811374022805511,Выход 13 контр.: 4471847.00 KZT; вход 180000.00 KZT. Порог выхода: ≥3 контр. Только наблюдаемые переводы ≥5000 KZT. Приоритет: объём +0.300; структура +0.296.
6,100000008603629100,distributor,0.7666423515981735,Выход 61 контр.: 4986156.00 KZT; вход 1817300.00 KZT. Порог выхода: ≥3 контр. Только наблюдаемые переводы ≥5000 KZT. Приоритет: структура +0.321; объём +0.300.
7,100000005933757100,distributor,0.7638267543859649,Выход 34 контр.: 3002628.00 KZT; вход 1246000.00 KZT. Порог выхода: ≥3 контр. Только наблюдаемые переводы ≥5000 KZT. Приоритет: структура +0.314; объём +0.300.
8,100000008304139100,distributor,0.7631293387218588,Выход 24 контр.: 1692997.00 KZT; вход 189329.75 KZT. Порог выхода: ≥3 контр. Только наблюдаемые переводы ≥5000 KZT. Приоритет: объём +0.300; структура +0.277.
9,100000008477350100,distributor,0.7611095238095237,Выход 39 контр.: 3374866.00 KZT; вход 610100.00 KZT. Порог выхода: ≥3 контр. Только наблюдаемые переводы ≥5000 KZT. Приоритет: структура +0.312; объём +0.300.
10,100000000331309100,distributor,0.7564724217309995,Выход 99 контр.: 23001375.00 KZT; вход 984635.00 KZT. Порог выхода: ≥3 контр. Только наблюдаемые переводы ≥5000 KZT. Приоритет: структура +0.303; объём +0.300.
11,100000006707582100,distributor,0.751713441327091,Выход 14 контр.: 961138.00 KZT; вход 39520.00 KZT. Порог выхода: ≥3 контр. Только наблюдаемые переводы ≥5000 KZT. Приоритет: объём +0.292; структура +0.272.
12,100000000437046100,distributor,0.7453042819773581,Выход 42 контр.: 7606224.00 KZT; вход 1107200.00 KZT. Порог выхода: ≥3 контр. Только наблюдаемые переводы ≥5000 KZT. Приоритет: объём +0.300; структура +0.294.
13,100000004351795100,distributor,0.7431829121213273,Выход 14 контр.: 1715161.00 KZT; вход 118333.00 KZT. Порог выхода: ≥3 контр. Только наблюдаемые переводы ≥5000 KZT. Приоритет: объём +0.300; структура +0.255.
14,100000004070318100,distributor,0.7363861260148971,Выход 19 контр.: 551860.00 KZT; вход 207246.55 KZT. Порог выхода: ≥3 контр. Только наблюдаемые переводы ≥5000 KZT. Приоритет: объём +0.286; структура +0.266.
15,100000002957787100,distributor,0.7343306786534742,Выход 34 контр.: 1276153.96 KZT; вход 84956.00 KZT. Порог выхода: ≥3 контр. Только наблюдаемые переводы ≥5000 KZT. Приоритет: объём +0.299; структура +0.281.
16,100000008346837100,distributor,0.7322434095969005,Выход 25 контр.: 1258643.00 KZT; вход 254359.00 KZT. Порог выхода: ≥3 контр. Только наблюдаемые переводы ≥5000 KZT. Приоритет: объём +0.300; структура +0.284.
17,100000004403675100,consolidator,0.7316198960696346,Вход от 4 контр.: 182980.00 KZT; выход 264699.00 KZT. Порог входа: ≥2 контр. Только наблюдаемые переводы ≥5000 KZT. Приоритет: объём +0.275; структура +0.274.
18,100000005382566100,consolidator,0.720410336335009,Вход от 7 контр.: 393066.00 KZT; выход 50000.00 KZT. Порог входа: ≥2 контр. Seed: вход неполон. Приоритет: объём +0.275; близость seed +0.200.
19,100000007639767100,distributor,0.7168375483716485,Выход 10 контр.: 822244.00 KZT; вход 90913.00 KZT. Порог выхода: ≥3 контр. Только наблюдаемые переводы ≥5000 KZT. Приоритет: объём +0.290; структура +0.251.
20,100000004400305100,distributor,0.714095570406821,Выход 82 контр.: 5830181.00 KZT; вход 222800.00 KZT. Порог выхода: ≥3 контр. Только наблюдаемые переводы ≥5000 KZT. Приоритет: объём +0.300; структура +0.259.
